neilson_brand_description,gg_brand_description,twitter,sector,label
5-HOUR ENERGY,5 hour energy,5hourenergy,Food,Correct
ALPHA HYDROX - AR,alpha hydrox,alphahydrox,Personal Care,Correct
ALWAYS ULTRA THIN MAXI PA,always,always,Personal Care,Correct
ARDELL FAKE-IT,ardell,ardell_lashes,Personal Care,Correct
AXE ARMOR,axe,axe,Personal Care,Correct
BARILLA COLLEZIONE,barilla,barilla,Food,Correct
BAYER BREEZE 2,bayer,bayer,Personal Care,Correct
BETTY CROCKER BAKE'N FILL,betty crocker,bettycrocker,Food,Correct
BETTY CROCKER FRT GSHRS B,betty crocker,bettycrocker,Food,Correct
BETTY CROCKER POTATO BUDS,betty crocker,bettycrocker,Food,Correct
BIGELOW,bigelow,bigelowtea,Food,Correct
BISSELL FUR GET IT,bissell,bissellclean,Household Che,Correct
BISSELL PWR FRH CLN/PLSH,bissell,bissellclean,Household Che,Correct
BLISS LID+LASH WASH,bliss,blissbyglam,Personal Care,Incorrect
BOSTON MARKET,boston market,bostonmarket,Food,Correct
BRAUN PULSONIC,braun,braun,Personal Care,Correct
BREYERS - YFZ,breyers,breyers,Food,Correct
CABOODLES EYE DEW,caboodles,realcaboodles,Personal Care,Incorrect
CADBURY MARBLE,cadbury,cadburyuk,Food,Correct
CANON PIXMA PGR,canon,canon_camera,Electronics,Correct
CEDARLANE NATURAL FOODS I,cedarlane,cedarlanefoods,Food,Correct
CHARLES WORTHINGTON T-A-B,charles worthington,cwhairlondon,Personal Care,Correct
CLEARASIL ASL,clearasil,clearasil,Personal Care,Correct
CLOROX CLEAN-UP ND-LIQ,clorox,clorox,Household Che,Correct
COMBOS,combos,combos,Food,Correct
CONAIR EXTRA BIG CURLS,conair,conair_hair,Personal Care,Correct
CONAIR PRO,conair,conair_hair,Personal Care,Correct
CONAIR SUPER CLIPS,conair,conair_hair,Personal Care,Correct
CREAM OF WHEAT,cream of wheat,cream_of_wheat,Food,Correct
CREST RUG & ROOM,crest,crest,Personal Care,Incorrect
CUISINART FLAVOR DUO,cuisinart,cuisinart,Appliances,Correct
DANNON ACTIVIA,dannon,dannon,Food,Correct
DEL MONTE FRESH PRDC INC-,del monte,delmonte,Food,Correct
DENTEK EXPLORER,dentek,dentek,Personal Care,Correct
DIESEL,diesel,diesel,Apparel,Correct
DOLE SPARKLERS,dole,dolefoods,Food,Incorrect
DR PEPPER BERRIES & CREAM,dr pepper,drpepper,Food,Correct
EARTH'S BEST MY FIRST SOU,earths best,earthsbest,Food,Correct
EAS SIMPLY PROTEIN,eas,easbrand,Food,Incorrect
"ELIZABETH ARDEN, INC.-NBL",elizabeth arden,elizabetharden,Personal Care,Correct
FANTA FREEZE,fanta,fantafun,Food,Incorrect
FISHER-PRICE KIDS GEAR,fisherprice,fisherprice,Personal Care,Correct
FRESCHETTA PIZZAMORE,freschetta,freschetta,Food,Correct
FRESH ELEMENTS BODY BOOST,fresh,fresh,Personal Care,Incorrect
FRESH GRILL FOODS-NBL,fresh,fresh,Personal Care,Incorrect
FRESH ONE,fresh,fresh,Personal Care,Incorrect
FRESH STIX,fresh,fresh,Personal Care,Incorrect
GAIN - PCK,gain,gain,Household Che,Correct
GENERAL MILLS HNY NUT CHE,general mills,generalmills,Food,Correct
GILLETTE FUSION PRGLD HYD,gillette,gillette,Personal Care,Correct
GILLETTE SPORT,gillette,gillette,Personal Care,Correct
GLADE PLUG INS CUSTOMIZAB,glade,glade,Household Che,Correct
GREEN GIANT FRSH & NTRLLY,green giant,greengiant,Food,Correct
HANSEN'S ENERGY,hansens,hansensnatural,Food,Correct
HARD CANDY HOT SMUDGE,hard candy,hardcandy,Personal Care,Incorrect
HEINZ REF,heinz,hjheinzcompany,Food,Incorrect
HERSHEY'S GOLDEN CASHEW,hersheys,hersheyskisses,Food,Incorrect
HERSHEY'S REESE'S HLDY AS,hersheys,hersheyskisses,Food,Incorrect
HILLSHIRE FARM GRILLED ES,hillshire farm,hillshirefarm,Food,Correct
HORMEL AUSTIN BLUES,hormel,hormelfoods,Food,Correct
HORMEL SPAM ISLAND,hormel,hormelfoods,Food,Correct
HP BY RL MIGRA SOLVE,hp,hp,Electronics,Incorrect
